,Date,Price,Market cap,Volume
0,2021-01-03 00:25:00.408,32208.489017143685,597933862790.0436,57573911507.35157
1,2021-01-03 01:02:57.488,32484.23873972136,603844413907.1982,57914655416.38135
2,2021-01-03 02:09:42.512,32669.95706953804,608870051519.4596,58772044560.27526
3,2021-01-03 03:07:25.229,32818.155611296446,610771987494.9349,58210151029.83003
4,2021-01-03 04:09:30.998,32673.420095782833,606839919436.7731,59013627313.22096
5,2021-01-03 05:14:19.210,33611.431863152255,624803310241.3196,61183033953.337975
6,2021-01-03 06:00:59.632,33972.16002395336,634041196934.3816,64356045396.678215
7,2021-01-03 07:08:20.645,33918.29796049026,632256197023.0131,68122942332.54008
8,2021-01-03 08:09:58.169,34392.95141641195,634830009716.5173,67499237585.17189
9,2021-01-03 09:01:38.075,34571.219246824374,642650202544.0516,67790754590.22124
10,2021-01-03 10:03:07.776,34345.51737983793,638456550315.2178,70730545633.0673
11,2021-01-03 11:03:15.353,33985.25501143137,633500777862.4249,71216144186.7519
12,2021-01-03 12:06:56.111,34684.899334891976,640848315492.1696,73999392201.46317
13,2021-01-03 13:19:10.302,34371.06167083637,639232685540.5442,71664357911.78865
14,2021-01-03 14:22:47.205,34189.83524567431,635567224102.1987,69700526933.52782
15,2021-01-03 15:12:04.128,33698.20137363262,626429951182.631,68939253189.40515
16,2021-01-03 16:22:20.993,33720.647405665695,626848693563.0211,70021109361.90416
17,2021-01-03 17:23:53.154,32733.374129672695,608497647584.2848,66278214556.16352
18,2021-01-03 18:23:12.470,32845.946507492015,610591956125.3854,77957366876.92744
19,2021-01-03 19:22:42.177,32966.26075577438,612829996540.6725,68126815871.133194
20,2021-01-03 20:10:57.017,33084.224774907554,615024357592.2087,67155269033.54558
21,2021-01-03 21:22:40.435,33810.21727573098,628521559419.1353,64835415319.55465
22,2021-01-03 22:04:40.337,33712.98687934911,626715357293.6294,63961388644.93056
23,2021-01-03 23:21:31.110,33519.65289891831,623123408822.7413,64030817004.41074
24,2021-01-04 00:12:00.545,33112.24118207711,613616917625.6967,179477904949.19873
25,2021-01-04 01:12:35.422,32881.59237928261,609987441411.6239,67759796014.46202
26,2021-01-04 02:04:59.748,33338.984189869036,618759737622.6973,65373856934.05485
27,2021-01-04 03:21:41.965,33399.254983186685,620890880965.7512,64151269757.372826
28,2021-01-04 04:23:58.716,33429.09732686489,621447955608.4354,66059389039.498215
29,2021-01-04 05:25:12.659,33254.26823305978,618568477539.3867,66845665337.91866
30,2021-01-04 06:08:55.300,32929.84426724217,613524145037.903,66377013928.59654
31,2021-01-04 07:18:07.543,32947.559736469266,612879732200.1166,67593496362.70289
32,2021-01-04 08:19:17.544,32464.94548994141,603230917821.3362,81166145731.66223
33,2021-01-04 09:01:58.016,31982.52343988921,594954877935.1934,66732010857.63654
34,2021-01-04 10:06:25.424,31078.81320569856,575233153132.2126,66684583288.527
35,2021-01-04 11:24:44.138,29691.215736748778,551970270618.9622,73709801790.20161
36,2021-01-04 12:13:03.566,30587.445719256102,572905213237.2701,77128033912.8586
37,2021-01-04 13:09:25.433,31287.17229835584,580564727720.4282,80392695956.26434
38,2021-01-04 14:15:12.728,31739.75727976418,580480745253.4663,97425378073.60199
39,2021-01-04 15:14:41.008,32201.21463294514,598636262017.9764,131024020007.76834
40,2021-01-04 16:13:44.451,31831.315558904214,591761663463.5867,77862190728.26
41,2021-01-04 17:19:52.212,31262.32663120731,584160946833.6792,95072683476.95384
42,2021-01-04 18:19:06.760,31194.157469977643,580248680450.793,158528863364.43436
43,2021-01-04 19:14:27.981,31333.122609364527,582503491835.254,91882995723.97607
44,2021-01-04 20:08:06.571,31429.72091812759,584282150523.1635,73890727116.66672
45,2021-01-04 21:06:36.728,31320.090310446845,582883217869.9702,81760167561.05383
46,2021-01-04 22:05:53.494,31274.631597633546,581773318688.7316,72472694892.56566
47,2021-01-04 23:02:40.168,31362.626599145162,583404322313.8463,74517021417.62279
48,2021-01-05 00:18:22.914,31589.727310244696,587172565362.0261,74884874333.96552
