,Date,Price,Market cap,Volume
0,2019-05-14 00:02:31.214,195.9744996435391,20786185788.32047,11766631230.183046
1,2019-05-14 01:00:35.324,197.05945659434798,20939842758.50207,11274089833.50367
2,2019-05-14 02:00:42.490,199.64248816297467,21202810533.45679,11338425416.355545
3,2019-05-14 03:02:49.209,202.67771836575406,21465142502.66315,11571925884.744808
4,2019-05-14 04:00:43.576,207.69174588812973,22097764380.686054,11830610058.280945
5,2019-05-14 05:01:33.471,210.5464403321326,22329379637.083454,12698517617.379375
6,2019-05-14 06:03:25.645,207.71395119208287,22029216504.699684,12744822506.751617
7,2019-05-14 07:00:37.409,208.8162349904284,22147148195.595512,13519304950.331623
8,2019-05-14 08:00:00.467,211.39683709434826,22431926047.488483,14555669244.915941
9,2019-05-14 09:00:00.831,208.52353502454463,22129346320.851215,14033522397.456095
10,2019-05-14 10:02:20.979,208.2704925439263,22089754538.22121,14599662134.561672
11,2019-05-14 11:01:34.900,206.34918668907878,21888652792.353455,13837620769.852688
12,2019-05-14 12:01:25.215,206.86721206609272,21938288722.47922,13860708847.651731
13,2019-05-14 13:02:48.092,209.06594800951666,22151978074.481068,14319104690.349943
14,2019-05-14 14:02:01.316,208.72573694216604,22142677162.58589,14092672687.747913
15,2019-05-14 15:02:43.284,207.52069455976277,22006629239.459362,13148602036.366095
16,2019-05-14 16:01:00.703,205.05844165333588,21844164994.878105,14159422846.929495
17,2019-05-14 17:00:27.811,207.8163762283699,22006652461.85492,12707508996.596266
18,2019-05-14 18:03:42.251,207.6075297229498,21987683495.611366,13254007966.616371
19,2019-05-14 19:00:28.596,206.65204237800398,21953427850.835747,13138366232.48063
20,2019-05-14 20:01:46.900,204.15494563552716,21654017297.479588,11181421452.637297
21,2019-05-14 21:00:15.727,204.80084191513362,21798569372.215393,13739546562.092901
22,2019-05-14 22:00:33.856,207.742969688323,22005649665.095226,11472856727.814379
23,2019-05-14 23:07:27.352,214.16008687241134,22687412761.78983,13369456600.219963
24,2019-05-15 00:02:05.906,217.68639930446915,23104212231.36558,13666643251.530396
25,2019-05-15 01:02:31.593,220.5975426775103,23391880080.153625,14261339510.647976
26,2019-05-15 02:00:34.894,221.20625407448895,23493390172.84434,14604417735.31196
27,2019-05-15 03:02:45.342,222.00823265563466,23544436346.52456,14431691126.68322
28,2019-05-15 04:00:34.398,226.6730538329341,24007104168.57168,12389122079.395765
29,2019-05-15 05:02:21.242,225.52296267558722,23914669559.399815,13298480654.968708
30,2019-05-15 06:02:09.499,228.08029702736775,24163537687.447495,12142014151.978214
31,2019-05-15 07:01:12.552,231.81851506060184,24636168962.424984,11679628455.49741
32,2019-05-15 08:02:33.153,225.91793417533992,23956199388.731842,13154152188.147287
33,2019-05-15 09:02:24.752,227.80279058246487,24197618157.877525,12873413151.696413
34,2019-05-15 10:00:10.284,233.27246498836692,24806838908.643253,12282145331.292233
35,2019-05-15 11:00:35.400,232.64055315847278,24774535117.126583,13456347970.032314
36,2019-05-15 12:02:56.633,231.19607444379184,24521123973.00445,12942043669.688244
37,2019-05-15 13:02:32.214,230.63738390430288,24485164857.360203,12913539741.800537
38,2019-05-15 14:01:17.849,230.65655839665044,24467515908.237446,14492365221.791794
39,2019-05-15 15:01:20.372,230.75173028754503,24488200387.37668,12049712166.18179
40,2019-05-15 16:02:31.095,237.1469943090498,25127572419.94606,11661937661.951529
41,2019-05-15 17:02:24.722,238.98858211109163,25349119369.88767,12594186068.818993
42,2019-05-15 18:01:53.574,241.55189557231515,25643685275.475296,13881745409.833925
43,2019-05-15 19:02:31.124,241.33664781403178,25617849762.431614,14567072346.066227
44,2019-05-15 20:00:31.243,241.15983533027054,25575136038.98055,13480857757.669725
45,2019-05-15 21:00:42.118,238.68973035894567,25349305734.511528,13579364552.561565
46,2019-05-15 22:00:33.300,240.86060061264806,25473181499.910194,11033164189.646456
47,2019-05-15 23:02:48.834,244.35593511419893,25889884719.15894,15091427056.117815
48,2019-05-16 00:03:10.562,248.28686925713916,26369246736.476906,14470535496.323439
