,Date,Price,Market cap,Volume
0,2020-11-20 00:36:06.570,82.49053402987593,5442099989.522452,5051192167.3908825
1,2020-11-20 01:06:50.798,82.74215620053272,5463651563.001121,5063041558.368653
2,2020-11-20 02:32:27.455,82.02212007901247,5394386140.502806,5137025814.588699
3,2020-11-20 03:18:54.989,81.6323250052173,5377693314.824216,5127158294.730575
4,2020-11-20 04:14:14.647,81.29105808293544,5353206967.915408,5153311834.029226
5,2020-11-20 05:16:35.905,81.43863101312623,5381383395.721217,5177329939.781748
6,2020-11-20 06:32:17.614,80.69071206756314,5319213237.096005,5157362514.177441
7,2020-11-20 07:31:22.566,80.61128464950319,5313995439.014864,5118287888.6708765
8,2020-11-20 08:02:55.578,80.69315606373627,5319405616.390148,5136960088.173762
9,2020-11-20 09:16:07.867,81.06540882883199,5372622812.352631,5164780438.363272
10,2020-11-20 10:03:57.342,80.47348341437021,5304962713.256078,5188826143.668807
11,2020-11-20 11:06:37.698,81.97949849956953,5394500991.841962,5213222692.4327755
12,2020-11-20 12:33:01.650,82.01147702657721,5409474171.651611,4917670225.340426
13,2020-11-20 13:32:10.854,81.44053914937753,5368796314.6720495,4749075118.687968
14,2020-11-20 14:23:43.928,82.13646438943043,5414692203.644061,4716392234.127586
15,2020-11-20 15:06:09.321,82.27189186540507,5412992314.774026,4710249181.696566
16,2020-11-20 16:14:55.289,82.02292777286388,5409441112.158389,4634564076.845917
17,2020-11-20 17:31:23.511,84.3593181999208,5561311918.027389,4851129882.350954
18,2020-11-20 18:20:15.064,84.21004610675811,5560552301.97125,4883311976.037531
19,2020-11-20 19:17:44.272,82.82001020036722,5466282523.588049,4816445986.39435
21,2020-11-20 21:16:41.047,83.34820028792625,5498131657.343822,4750644467.230078
22,2020-11-20 22:33:11.697,82.74261581731975,5454857420.735077,4670329751.490665
23,2020-11-20 23:34:01.316,82.6410667178841,5448197856.863208,4649369790.197335
24,2020-11-21 00:07:00.128,82.57125061351846,5448287224.618022,4626119999.603388
25,2020-11-21 01:17:50.167,84.10791304713233,5558721471.583721,4641447405.568112
26,2020-11-21 02:09:35.210,83.9325536853078,5536301293.033191,4527369513.913542
27,2020-11-21 03:30:37.996,82.7124648931423,5452982398.400038,4495868648.47497
28,2020-11-21 04:06:26.107,82.00415125593724,5415994327.342688,4483201222.359603
29,2020-11-21 05:27:09.647,81.31295354666248,5360319139.002065,4617069337.814866
30,2020-11-21 06:15:18.816,82.23788722373448,5397776361.195217,4665896013.286757
31,2020-11-21 07:23:48.446,82.88050174388474,5464168303.890154,4730458263.144063
32,2020-11-21 08:20:17.153,83.33087784089767,5477233670.315155,4700991872.592956
33,2020-11-21 09:02:39.096,84.18116470794133,5549966118.120009,4725386230.387961
34,2020-11-21 10:02:04.618,82.98633810413436,5471217488.005692,4610906086.042231
35,2020-11-21 11:17:07.647,82.8413807173626,5455691932.41057,4592789419.8533745
36,2020-11-21 12:01:59.265,82.01117562417232,5406974050.783223,4530149242.810759
37,2020-11-21 13:33:02.747,83.55187187156646,5509284561.703197,4481820770.795824
38,2020-11-21 14:02:29.493,83.58259810365622,5510624513.996962,4592794416.313639
39,2020-11-21 15:19:53.107,85.28397517678368,5614393622.879697,4831423181.369285
40,2020-11-21 16:31:42.920,87.54282812509346,5758457708.827179,5026516406.917623
41,2020-11-21 17:18:13.965,84.74456373104404,5615968054.407216,4614769750.805461
42,2020-11-21 18:27:08.201,85.1835827146198,5618384279.267433,4997336683.887774
43,2020-11-21 19:22:51.119,85.15783763184858,5613385511.306789,4953896314.304809
44,2020-11-21 20:07:43.614,85.49152302387829,5641331650.528953,4973458108.128217
45,2020-11-21 21:29:55.035,85.05269183745742,5605146810.231015,4954496344.557079
46,2020-11-21 22:06:39.784,85.74744853118997,5664985370.57651,4982849129.97442
47,2020-11-21 23:03:28.512,85.39619266689627,5629217883.955853,4887491692.229227
48,2020-11-22 00:36:06.038,86.8105840570545,5724569633.568941,4971817321.368015
49,2020-11-22 01:05:15.773,85.36892168238553,5628584629.039489,4992891206.537598
50,2020-11-22 02:02:35.044,84.22351180566754,5551983501.761139,4933276525.352025
51,2020-11-22 03:06:19.448,85.20641075105357,5608238949.113993,4954758251.528613
52,2020-11-22 04:04:57.984,84.59701670804192,5576665085.501243,4964336385.439513
53,2020-11-22 05:03:58.819,84.45911085565662,5568918215.722324,4887778358.239714
54,2020-11-22 06:04:12.505,83.53528134117676,5524166107.192238,4841009192.061319
55,2020-11-22 07:07:11.260,83.64213966407618,5511805669.573348,4834063000.001591
56,2020-11-22 08:08:25.142,84.07215734136055,5532758083.763727,4889971217.777635
57,2020-11-22 09:08:35.809,82.90777264086181,5471040157.096084,4792423058.984974
58,2020-11-22 10:02:14.536,84.29513861124646,5556951678.215053,4835906580.959858
59,2020-11-22 11:04:18.979,82.90147259951722,5466296672.393437,4744894492.866714
60,2020-11-22 12:04:46.274,80.26581465666996,5291377474.36101,4894788049.014709
61,2020-11-22 13:08:04.653,81.45432178365913,5374358759.149809,5066816632.424843
62,2020-11-22 14:07:10.597,82.04476063887294,5407296768.017723,5054893544.280075
63,2020-11-22 15:09:33.841,81.80002143958166,5395876524.972674,4852001633.996126
64,2020-11-22 16:06:16.542,82.5613924271071,5449363775.638947,4807303081.954927
65,2020-11-22 17:13:15.002,83.75922758116432,5521841869.965914,4538897457.196327
66,2020-11-22 18:11:36.247,83.9666551037921,5535539656.856504,4490254850.505917
67,2020-11-22 19:04:49.884,84.13432436315212,5546617517.117101,4469193667.319064
