,Date,Price,Market cap,Volume
0,2020-11-20 00:10:39.446,17822.996752811316,330526082018.5286,30466735827.363426
1,2020-11-20 01:06:15.784,17775.271933413824,330338078517.50806,29318578429.960545
2,2020-11-20 02:13:22.527,17940.763173876905,332346545062.4001,29538375480.64246
3,2020-11-20 03:28:23.104,17987.234294986192,333861590596.3082,29209065502.781002
4,2020-11-20 04:31:06.714,18062.911796616885,333465725689.51843,29094618741.679363
5,2020-11-20 05:18:55.958,18093.1370037838,336395739264.5482,29420650873.78649
6,2020-11-20 06:06:04.131,18107.869314207175,335809547490.60583,29369485050.08458
7,2020-11-20 07:24:00.889,18302.129181897602,339479898262.58,29278694019.53178
8,2020-11-20 08:06:08.092,18203.65485669942,337739345002.2874,29631590129.6482
9,2020-11-20 09:17:21.294,18216.207343925875,339480260259.56836,29141474871.769722
10,2020-11-20 10:13:49.659,18168.48605623579,337002578556.20123,28941169767.752445
11,2020-11-20 11:32:49.629,18281.260997124708,339095453983.4668,28611493396.706944
12,2020-11-20 12:04:47.625,18289.524980404967,338943260821.6241,28602031569.3229
13,2020-11-20 13:04:07.273,18252.176702411383,338902140139.97076,28304200233.5123
14,2020-11-20 14:06:49.334,18245.614028893513,338709065548.46497,27605418336.53147
15,2020-11-20 15:01:38.857,18538.990928183935,343878574770.45544,28477300489.282097
16,2020-11-20 16:00:53.262,18670.494069733966,346604557005.01294,28732147876.279697
17,2020-11-20 17:31:48.035,18639.72822846509,345749716889.4161,28922131226.388855
18,2020-11-20 18:20:21.880,18613.600840920415,345560415587.05634,28898562140.638725
19,2020-11-20 19:03:55.986,18578.03413991596,344606741966.4221,29158993119.801548
20,2020-11-20 20:01:53.393,18634.760372485318,345659543040.8576,28874990713.915512
21,2020-11-20 21:15:04.998,18600.735715134553,345028766927.17377,28894022978.33633
22,2020-11-20 22:33:28.616,18546.754437332307,343884687255.8376,28737155856.71328
23,2020-11-20 23:03:13.365,18602.601600649527,345065107652.7171,28897054238.823982
24,2020-11-21 00:31:30.073,18741.297237684998,346267436300.72833,28053818959.0897
25,2020-11-21 01:07:46.826,18889.864353760917,348142546256.3286,28510891814.707047
26,2020-11-21 02:19:09.268,18891.399174151113,350079985776.7925,28687792020.710815
27,2020-11-21 03:32:45.650,18788.678813849267,348406153335.6303,29192367487.471237
28,2020-11-21 04:06:18.369,18654.81426567943,346392367931.5429,29261174305.721508
29,2020-11-21 05:06:57.363,18576.578603370057,344399728562.9534,29741931903.28073
30,2020-11-21 06:24:13.184,18704.842142784397,346836280968.63214,30021754979.82254
31,2020-11-21 07:33:55.207,18684.31814372662,346587674160.6874,29762012170.0169
32,2020-11-21 08:09:17.507,18658.804185505775,346099222100.0689,29642014505.444355
33,2020-11-21 09:01:52.259,18753.543642644363,347873302389.0749,29709892264.625248
34,2020-11-21 10:19:41.636,18678.66860930949,345709583182.90234,29684612209.15943
35,2020-11-21 11:07:10.761,18608.66749826879,344738850680.07635,29484559554.17476
36,2020-11-21 12:05:11.484,18494.81688068653,343261140529.2477,29400538157.15599
37,2020-11-21 13:33:26.374,18649.787715029517,345952387177.1716,29859322412.53348
38,2020-11-21 14:04:54.734,18776.3836601205,348378164813.7638,30523240137.043987
39,2020-11-21 15:26:44.301,18736.85252660441,346664227860.46875,30293221056.601204
40,2020-11-21 16:14:13.412,18800.716584442598,348754702695.15405,30174222926.06522
41,2020-11-21 17:30:25.342,18667.915389661728,347261347383.11865,30413205046.797718
42,2020-11-21 18:30:23.857,18712.308600510572,347201991684.095,30602029567.05652
43,2020-11-21 19:20:31.911,18669.40744571967,346997422792.36597,30673444255.846508
44,2020-11-21 20:19:45.484,18592.470070586074,344581671708.85175,30840554938.763863
45,2020-11-21 21:09:36.695,18620.19600935083,345848572088.02435,31094412459.06516
46,2020-11-21 22:06:47.528,18612.172299402162,345584368413.8619,31138944574.46131
47,2020-11-21 23:09:14.453,18603.88069921016,345149937254.81525,31461760807.785095
48,2020-11-22 00:09:06.210,18654.335006151447,345963395464.84467,30892329351.84364
49,2020-11-22 01:04:22.205,18510.870727986814,343384852319.8878,30942831172.035553
50,2020-11-22 02:07:00.847,18416.15186887182,340857688383.82697,31399167142.310104
51,2020-11-22 03:02:54.666,18548.58234217872,344085810613.0685,31481000376.09222
52,2020-11-22 04:05:17.452,18550.46293749223,343363194245.7238,31007339812.444557
53,2020-11-22 05:02:43.238,18507.394897820872,343324667846.1332,30891140461.78416
54,2020-11-22 06:06:33.455,18440.016781337272,341911322077.0324,30567609369.202477
55,2020-11-22 07:08:20.372,18414.631395934182,341534913755.3872,30602725589.28785
56,2020-11-22 08:03:37.512,18439.63524930377,342069745867.5261,31134545422.210716
57,2020-11-22 09:03:10.474,18183.49995776397,338677483014.4106,30845047321.606693
58,2020-11-22 10:05:24.525,18294.048975194964,339370945075.6014,31475748057.962868
59,2020-11-22 11:07:20.816,18095.716085832762,335283104468.7336,31558725647.91148
60,2020-11-22 12:06:30.606,17865.809708815945,328554072723.3985,32388212754.228878
61,2020-11-22 13:02:14.050,18062.45579549189,335076834211.6396,33050364479.314278
62,2020-11-22 14:08:34.505,18165.068047344947,336922232648.77454,33059126649.529667
63,2020-11-22 15:08:50.472,18176.366841912346,337513286902.9339,32611745598.4985
64,2020-11-22 16:08:20.207,18240.483563161557,339431625020.87866,32328504194.761505
65,2020-11-22 17:12:55.827,18466.43787017495,342574803814.444,32285366512.012867
66,2020-11-22 18:02:09.276,18431.201536387478,341921698483.4975,32156968520.49544
